,name,Squad,Average age,Foreigners,Average market value,Total market value,Ranking,MP,GD,Pts,Season
152,Udinese Calcio,40.0,24.1,23.0,3.43,137.05,4,38,22,66,2010
153,UC Sampdoria,46.0,24.0,14.0,2.72,125.05,18,38,-16,36,2010
154,US Palermo,45.0,23.7,16.0,2.73,123.03,8,38,-5,56,2010
155,SS Lazio,44.0,26.6,22.0,2.54,111.73,5,38,16,66,2010
156,Parma FC,43.0,25.2,14.0,2.0,86.05,12,38,-8,46,2010
157,Cagliari Calcio,37.0,27.2,6.0,2.3,85.03,14,38,-7,45,2010
158,AC Cesena,45.0,25.9,22.0,1.43,64.23,15,38,-12,43,2010
159,Bologna FC 1909,38.0,24.4,14.0,1.66,63.05,16,38,-17,42,2010
160,Calcio Catania,35.0,26.3,17.0,1.73,60.68,13,38,-12,46,2010
161,AS Bari,46.0,25.2,15.0,1.12,51.5,20,38,-29,24,2010
162,Chievo Verona,43.0,26.7,21.0,1.14,48.95,11,38,-2,46,2010
163,Brescia Calcio,43.0,25.6,19.0,0.885,38.05,19,38,-18,32,2010
164,US Lecce,37.0,25.1,15.0,0.884,32.7,17,38,-20,41,2010
165,Juventus FC,39.0,25.6,14.0,7.82,304.9,1,38,40,86,2004
166,AC Milan,37.0,26.7,17.0,7.4,273.7,2,38,35,79,2004
167,FC Internazionale,50.0,24.3,25.0,4.81,240.63,3,38,28,72,2004
168,AS Roma,40.0,23.1,10.0,4.69,187.6,8,38,-3,45,2004
169,ACF Fiorentina,48.0,25.0,13.0,2.33,111.83,16,38,-8,42,2004
170,Parma FC,44.0,23.3,8.0,2.5,110.05,18,38,-17,42,2004
171,Udinese Calcio,34.0,25.0,17.0,2.47,83.95,4,38,16,62,2004
172,US Palermo,29.0,25.1,5.0,2.72,78.75,6,38,4,53,2004
173,SS Lazio,45.0,25.8,12.0,1.71,77.05,13,38,-5,44,2004
174,AC Siena,40.0,27.1,9.0,1.37,54.9,14,38,-11,43,2004
175,UC Sampdoria,37.0,25.2,3.0,1.38,51.0,5,38,13,61,2004
176,Chievo Verona,42.0,25.3,7.0,1.1,46.28,15,38,-17,43,2004
177,Brescia Calcio,32.0,24.6,11.0,1.41,45.25,19,38,-17,41,2004
178,US Lecce,33.0,23.3,13.0,1.36,44.9,11,38,-7,44,2004
179,Atalanta BC,40.0,25.0,6.0,1.04,41.7,20,38,-11,35,2004
180,FC Messina Peloro,45.0,24.6,10.0,0.726,32.65,7,38,-8,48,2004
181,Bologna FC 1909,40.0,25.8,6.0,0.748,29.94,17,38,-3,42,2004
182,Reggina Calcio,35.0,23.9,8.0,0.837,29.3,10,38,-9,44,2004
183,AS Livorno,37.0,26.2,8.0,0.676,25.0,9,38,-11,45,2004
184,Cagliari Calcio,31.0,26.2,6.0,0.771,23.9,12,38,-9,44,2004
185,SS Lazio,38.0,25.8,14.0,,,3,34,29,69,2000
186,Udinese Calcio,43.0,23.6,22.0,,,12,34,-10,38,2000
187,AS Roma,37.0,24.5,14.0,,,1,34,35,75,2000
188,Brescia Calcio,33.0,27.4,11.0,,,8,34,2,44,2000
189,Juventus FC,43.0,24.1,16.0,,,2,34,34,73,2000
190,Atalanta BC,39.0,24.2,5.0,,,7,34,4,44,2000
191,AC Parma,38.0,25.0,16.0,,,4,34,20,56,2000
192,AC Perugia,42.0,25.7,12.0,,,11,34,-4,42,2000
193,Hellas Verona,38.0,24.3,6.0,,,15,34,-19,37,2000
194,US Lecce,40.0,25.2,11.0,,,13,34,-14,37,2000
195,Bologna FC 1909,37.0,24.4,8.0,,,10,34,-4,43,2000
196,FC Internazionale,47.0,24.2,24.0,,,5,34,0,51,2000
197,Milan AC,48.0,25.3,22.0,,,6,34,10,49,2000
198,Reggina Calcio,33.0,24.0,9.0,,,14,34,-17,37,2000
199,Vicenza Calcio,40.0,25.4,10.0,,,16,34,-14,36,2000
